,product_name,product_price,rating
0,Pembe Pembe Maize Meal – 5Kg,KSh 299,4.4 out of 5
1,Soko Soko Maize Meal - 2Kg,KSh 149,4.5 out of 5
2,Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 3 Litres,KSh 699,4.6 out of 5
3,Amaize Amaize Premium Maize Meal - 2Kg,KSh 175,4.5 out of 5
4,Jogoo Jogoo Maize Meal - 2Kg,KSh 159,4.4 out of 5
5,Garnier Even & Matte Vitamin C Booster Serum 30ml,KSh 800,4.4 out of 5
6,Kabras Kabras Premium White Sugar - 2kg,KSh 289,4.6 out of 5
7,NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 624,4.7 out of 5
8,Indomie Indomie Chicken Jumbo 120g - Pack of 20,KSh 699,4.7 out of 5
9,Exe Exe All Purpose Flour 2kg,KSh 185,4.5 out of 5
10,Master Chef Premium Vegetable Cooking Oil - 5 Litres,KSh 899,4.8 out of 5
11,Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,KSh 645,4.5 out of 5
12,Amana Pishori - 5kg,KSh 999,4.5 out of 5
13,NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women,KSh 699,4.5 out of 5
14,Kabras Kabras Premium White Sugar - 1kg,KSh 148,4.7 out of 5
15,Pembe Pembe Maize Meal – 2Kg,KSh 169,4.4 out of 5
16,Fashion 6Pcs Soft Cotton Checked Men's Boxers – Multicolor,KSh 549,3.7 out of 5
17,Jogoo Jogoo Maize Meal 2Kg - Pack of 12,"KSh 2,136",4.5 out of 5
18,Tusker Tusker Lager Can - 500ml - Pack of 6,KSh 999,4.7 out of 5
19,Soko Nutrigo Whole Grain Maize Meal 2Kg,KSh 109,4.2 out of 5
20,Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,599",4.8 out of 5
21,Salit Premium Refined Vegetable Cooking Oil - 3 Litres,KSh 641,4.6 out of 5
22,Rashnik Stainless Steel 2.2L Cordless Kettle,KSh 899,4.1 out of 5
23,Postman Vegetable Oil Plastic Jerican - 10Ltr,"KSh 2,030",4.6 out of 5
24,Garnier Even & Matte Dark Spot Corrector,KSh 645,4 out of 5
25,"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh, 4G, Polar Black","KSh 8,999",4.5 out of 5
26,"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh, 4G, Light Sea Green","KSh 8,999",4.9 out of 5
27,Fashion 4pcs Ladies Handbags Women Shoulder Bags Set PU Leather-Black,KSh 699,3.6 out of 5
28,Softleaf Softleaf Virgin Toilet Paper 10 Pack,KSh 350,4.7 out of 5
29,Gilbey's Gilbey's Gin - 750 ML,"KSh 1,150",4.3 out of 5
30,Jogoo Jogoo Maize 5Kg,KSh 398,4.4 out of 5
31,Soko Home Baking Flour - 1Kg,KSh 84,3.8 out of 5
32,Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,KSh 799,3.8 out of 5
33,Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,KSh 798,4.4 out of 5
34,"Vision Plus Frameless 32"" Digital HD LED TV - Black + FREE WALL MOUNT","KSh 10,999",4 out of 5
35,Garnier Skin Active Pure Charcoal Black Tissue Face Mask,KSh 197,4.5 out of 5
36,Fashion 4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,KSh 198,4.1 out of 5
37,HP V250W Flash Disk With Clip - 64GB - Silver,KSh 699,4.1 out of 5
38,Fashion 16 Inch Laptop Backpack Bags With USB Waterproof,KSh 746,3.5 out of 5
39,Dark And Lovely Waterless Cleanser 250 Ml,KSh 299,4.6 out of 5
